Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price
Toyota,Prius +,2012,Minivan,250,1800,Hybrid,Automatic,10500
Ford,Fusion,2014,Sedan,186900,1996,Hybrid,Automatic,11500
Skoda,Octavia,2014,Universal,239950,1800,Petrol,Automatic,12900
Opel,Astra,1993,Hatchback,220000,1400,Petrol,Manual,1650
Lexus,RX Series,2012,Crossover,118000,3500,Hybrid,Automatic,24990
Peugeot,207,2007,Universal,208000,1400,Metan/Propan,Manual,4490
Volkswagen,Caddy,2008,Minivan,270000,1900,Diesel,Manual,4450
Volkswagen,Polo,2000,Hatchback,250,1396,Petrol,Manual,1400
Renault,Espace,2007,Minivan,370000,2000,Metan/Propan,Manual,5300
BMW,X5,2005,SUV,238000,3000,Diesel,Automatic,4500
Toyota,Prius,2009,Hatchback,184000,1500,Hybrid,Automatic,6500
Volkswagen,Touran,2010,Hatchback,178800,1197,Petrol,Manual,7499
Vaz,2109,1992,Hatchback,50000,1300,Petrol,Manual,1100
Volkswagen,Passat,2013,Universal,197000,1400,Petrol,Manual,7800
Volkswagen,Golf,2007,Hatchback,2,1400,Petrol,Manual,4150
BMW,7 Series,1997,Sedan,111111,2800,Metan/Propan,Manual,3800
Skoda,Octavia,2013,Sedan,88450,1200,Petrol,Manual,9455
BMW,5 Series,1999,Sedan,0,2000,Petrol,Manual,3100
Chevrolet,Aveo,2010,Sedan,182314,1200,Petrol,Manual,2450
Skoda,Octavia,2015,Universal,170000,1800,Petrol,Automatic,14000
Opel,Corsa,2007,Hatchback,161000,1200,Petrol,Manual,3499
Mercedes,GL Class,2012,SUV,178000,0,Petrol,Automatic,34000
Volkswagen,Touran,2007,Universal,180000,2000,Metan/Propan,Manual,5600
Dacia,Logan,2012,Sedan,190000,1200,Metan/Propan,Manual,2999
Nissan,Juke,2012,Universal,82000,1600,Petrol,Automatic,8800
BMW,3 Series,2014,Sedan,123000,2000,Petrol,Automatic,15550
Toyota,Auris,2007,Hatchback,220000,1400,Diesel,Manual,3999
Skoda,Fabia,2005,Universal,1,1400,Diesel,Manual,1111
Chevrolet,Aveo,2014,Sedan,1111,1212,Petrol,Manual,2300
Volkswagen,Passat,1995,Universal,189101,1600,Metan/Propan,Manual,2250
Dacia,Duster,2017,SUV,170000,1500,Diesel,Manual,8250
Nissan,Qashqai,2017,Crossover,157600,1500,Petrol,Manual,11990
Skoda,Fabia,2004,Universal,227280,1400,Petrol,Manual,2950
Toyota,Corolla,2011,Sedan,184000,1400,Diesel,Manual,7700
Skoda,Fabia,2009,Sedan,89000,1198,Metan/Propan,Manual,3500
Mercedes,Viano,2006,Microvan,281926,2200,Diesel,Automatic,13500
Toyota,Avensis,2005,Universal,183998,1794,Petrol,Manual,5500
Mercedes,Vito,2011,Minivan,225632,2143,Diesel,Manual,10300
Skoda,Fabia,2011,Universal,215000,1200,Diesel,Manual,5000
Volkswagen,Passat,2015,Sedan,140000,1600,Diesel,Automatic,18500
Vaz,2106,1999,Sedan,15000,1500,Petrol,Manual,870
Volkswagen,Golf,1994,Universal,200000,1800,Petrol,Manual,1350
Vaz,2106,1999,Sedan,150000,1500,Petrol,Manual,870
KIA,Sportage,2017,Crossover,187000,1700,Diesel,Automatic,16990
Renault,Megane,2013,Universal,182000,1500,Diesel,Automatic,6990
Renault,Talisman,2018,Universal,139000,1500,Diesel,Manual,12390
Renault,Megane,2017,Universal,109000,1500,Diesel,Automatic,12850
Toyota,Venza,2011,Minivan,92000,2700,Metan/Propan,Automatic,15990
Mercedes,E Class,2008,Sedan,214000,2000,Metan/Propan,Automatic,10450
Volkswagen,Passat,2012,Sedan,146000,1400,Petrol,Manual,8490
Dacia,Sandero Stepway,2017,Hatchback,39000,900,Petrol,Automatic,7990
Audi,Q7,2011,Crossover,157000,3000,Petrol,Automatic,18990
Renault,Grand Scenic,2012,Minivan,172000,1500,Diesel,Automatic,8990
Toyota,Prius,2016,Hatchback,60000,1800,Hybrid,Automatic,13650
Toyota,Avensis,2015,Universal,124000,1600,Diesel,Manual,13990
Mercedes,GLC,2016,SUV,164000,2200,Diesel,Automatic,27400
Ford,Kuga,2018,Crossover,159600,1500,Diesel,Manual,13890
Ford,Kuga,2017,Crossover,109200,1500,Diesel,Manual,14590
Chevrolet,Aveo,2009,Hatchback,144000,1400,Petrol,Manual,3200
BMW,5 Series,2011,Sedan,227000,2000,Petrol,Automatic,11990
Renault,Megane,2011,Universal,253000,1500,Diesel,Manual,5990
Skoda,Octavia RS,2011,Sedan,188000,2000,Diesel,Manual,9290
Lexus,RX Series,2005,Crossover,218000,3000,Petrol,Automatic,9490
Subaru,Forester,2009,Crossover,188000,2000,Diesel,Manual,7490
Toyota,Rav 4,2015,Crossover,54000,2500,Hybrid,Automatic,17950
Ford,Edge,2015,Crossover,159000,2000,Petrol,Automatic,15990
Volkswagen,Transporter,2004,Minivan,235000,2500,Diesel,Manual,5650
Ford,Focus,2019,Universal,169000,1500,Diesel,Manual,13490
Chevrolet,Lacetti,2007,Sedan,1,1600,Petrol,Manual,1700
Chevrolet,Lacetti,2007,Sedan,1,1600,Petrol,Manual,1700
Nissan,Qashqai,2014,Minivan,1,1500,Diesel,Manual,1700
Volvo,V50,2009,Universal,200000,2000,Diesel,Manual,8999
Renault,Fluence,2012,Sedan,49000,100,Electric,Automatic,7770
Skoda,Superb,2007,Sedan,232000,2500,Diesel,Automatic,1999
Toyota,C-HR,2017,Crossover,97000,1798,Hybrid,Automatic,18780
Volkswagen,Passat,1998,Universal,230,1800,Metan/Propan,Manual,2000
Mitsubishi,Pajero,2008,SUV,210000,3200,Diesel,Automatic,13000
Dacia,Logan,2007,Sedan,215193,1500,Diesel,Manual,2599
Fiat,Punto,2000,Hatchback,250000,1245,Petrol,Automatic,1999
Nissan,Qashqai+2,2010,Crossover,29000,1500,Diesel,Manual,7300
Dacia,Logan,2008,Universal,250000,1600,Metan/Propan,Manual,4600
Suzuki,Swift,2008,Hatchback,190200,1300,Diesel,Manual,3550
BMW,5 Series,1996,Sedan,240000,1992,Petrol,Manual,2700
Toyota,Corolla,2005,Hatchback,0,1400,Diesel,Automatic,4950
Volkswagen,Passat,1991,Sedan,103,1800,Metan/Propan,Manual,1500
Mitsubishi,Altele,1992,Sedan,300000,3000,Metan/Propan,Automatic,850
Mitsubishi,Galant,1998,Universal,200000,2000,Metan/Propan,Manual,2000
Ford,Escape,2010,Crossover,200000,2500,Hybrid,Automatic,9600
Volvo,XC60,2014,Crossover,146000,2000,Diesel,Automatic,17350
Dacia,Logan,2008,Sedan,409542,1500,Diesel,Manual,2000
Honda,CR-V,2013,Crossover,160000,2200,Diesel,Manual,14150
Toyota,Avensis Verso,2002,Minivan,330,200,Diesel,Manual,1900
Hyundai,i40,2012,Sedan,219536,1700,Diesel,Manual,8500
Nissan,Qashqai,2014,SUV,98800,1500,Diesel,Manual,12690
Dacia,Logan,2018,Universal,30000,898,Petrol,Manual,7199
Subaru,Outback,2009,Combi,215815,1998,Diesel,Manual,4300
Mitsubishi,Outlander,2015,Crossover,55000,2400,Petrol,Automatic,14999
Volkswagen,Passat,2008,Sedan,235000,1900,Diesel,Manual,7500
Ford,Kuga,2018,Crossover,143000,1500,Diesel,Manual,14750
Nissan,Qashqai,2018,Crossover,148200,1500,Diesel,Manual,14250
Hyundai,Santa FE,2015,SUV,121000,2200,Diesel,Automatic,15000
Renault,Clio,2016,Universal,183000,1500,Diesel,Manual,6500
Audi,A4,2002,Sedan,234000,1900,Diesel,Manual,2299
Toyota,Camry,2003,Sedan,199340,2390,Metan/Propan,Automatic,5500
Seat,Ibiza,2011,Universal,189000,1200,Diesel,Manual,4750
Volkswagen,Golf,2004,Hatchback,777,1400,Metan/Propan,Manual,3350
Hyundai,Accent,1996,Hatchback,1111,1500,Metan/Propan,Manual,700
Volkswagen,Golf,2004,Hatchback,777,1400,Metan/Propan,Manual,3350
Hyundai,Accent,1996,Hatchback,1111,1500,Metan/Propan,Manual,700
BMW,5 Series,1999,Sedan,334210,1999,Petrol,Manual,3299
Mercedes,E Class,2012,Sedan,150000,2500,Diesel,Automatic,14490
Toyota,Prius,2007,Hatchback,199820,1500,Hybrid,Automatic,4999
Isuzu,Pikap,2014,Pickup,135335,2500,Diesel,Manual,18200
Mercedes,B Class,2015,Universal,238455,1500,Diesel,Automatic,11950
Renault,Captur,2014,Crossover,151000,1461,Diesel,Manual,8200
Hyundai,i40,2013,Minivan,168000,1700,Diesel,Automatic,10800
Toyota,Altele,2003,Sedan,266000,1500,Petrol,Manual,2150
Volkswagen,Passat,2007,Sedan,317000,1860,Diesel,Manual,5700
KIA,Niro,2017,Crossover,21000,1598,Hybrid,Automatic,14900
Ford,Kuga,2017,Crossover,158400,1500,Diesel,Automatic,14590
Honda,Accord,2015,Sedan,32000,2000,Hybrid,Automatic,14300
Hyundai,i30,2014,Universal,172000,1400,Diesel,Manual,4900
Mercedes,E Class,2003,Sedan,320000,1800,Metan/Propan,Automatic,6550
Audi,A4,1995,Sedan,209000,1600,Petrol,Manual,2950
BMW,5 Series,2017,Sedan,70000,2000,Diesel,Automatic,30000
BMW,5 Series,1996,Sedan,311000,2500,Petrol,Manual,4350
Honda,Civic,1997,Sedan,329000,1500,Petrol,Manual,1600
Renault,Grand Scenic,2004,Minivan,192345,1500,Diesel,Manual,3200
BMW,7 Series,1998,Sedan,258000,3500,Petrol,Manual,3990
Renault,Scenic,2014,Sedan,189000,1500,Diesel,Manual,6500
Dacia,Logan,2006,Sedan,140000,1400,Petrol,Manual,2600
Toyota,Auris,2013,Hatchback,147800,1800,Hybrid,Automatic,9399
Volkswagen,Transporter,1991,Universal,200000,2000,Metan/Propan,Manual,2800
Opel,Calibra,1998,Coupe,10000,2000,Metan/Propan,Manual,1300
Infiniti,QX60,2016,SUV,102000,2500,Hybrid,Automatic,28500
Audi,A3 e-tron,2016,Hatchback,71000,1461,Plug-in Hybrid,Automatic,14900
Audi,A6,2005,Sedan,240000,2000,Diesel,Manual,7990
Dacia,Logan,2008,Sedan,213110,1400,Metan/Propan,Manual,3200
Dacia,Duster,2011,Crossover,174000,1500,Diesel,Manual,7000
Hyundai,Tucson,2015,SUV,120000,2000,Diesel,Automatic,19950
Volvo,S40,1997,Sedan,350000,1600,Metan/Propan,Manual,600
Mitsubishi,Space Wagon,1993,Universal,300000,2000,Metan/Propan,Manual,2150
Opel,Astra,1994,Hatchback,200000,1400,Petrol,Manual,1350
Volkswagen,Golf,2002,Universal,26000,1900,Diesel,Manual,4499
Dacia,Duster,2012,Crossover,160000,1600,Metan/Propan,Manual,5700
Nissan,Micra,2007,Cabriolet,156000,1600,Petrol,Manual,3500
Toyota,Avensis,2005,Sedan,200000,1999,Petrol,Manual,4300
Hyundai,Tucson,2017,Crossover,83400,2000,Petrol,Automatic,15000
Ford,Kuga,2018,SUV,149000,1500,Diesel,Automatic,14950
Honda,Civic,2015,Sedan,104000,2000,Petrol,Automatic,12490
Ford,Kuga,2017,Crossover,110000,1500,Diesel,Automatic,14850
Ford,Kuga,2017,Crossover,147200,1500,Diesel,Manual,13890
Ford,Kuga,2017,Crossover,158700,1500,Diesel,Manual,13990
Honda,CR-V,2017,Crossover,62000,1500,Petrol,Automatic,17950
Volkswagen,Passat,2007,Universal,161000,1600,Petrol,Manual,6250
BMW,X4,2015,Crossover,128000,2000,Diesel,Automatic,27490
Dacia,Duster,2020,SUV,47000,1500,Diesel,Manual,14490
Skoda,Superb,2008,Sedan,272000,2000,Diesel,Automatic,7999
Opel,Astra,2005,Universal,232000,1600,Metan/Propan,Manual,2950
Nissan,X-Trail,2015,Crossover,167300,1600,Diesel,Manual,15750
Skoda,Superb,2017,Hatchback,92,2000,Diesel,Automatic,23500
Nissan,X-Trail,2016,Crossover,134700,1600,Diesel,Automatic,16490
Honda,Accord,2017,Sedan,76437,1500,Petrol,Manual,15499
Nissan,Qashqai,2014,Crossover,139600,1500,Diesel,Manual,12990
Honda,CR-V,2003,SUV,265000,2000,Metan/Propan,Manual,6250
Renault,Captur,2013,Crossover,111000,1200,Petrol,Automatic,9990
Volkswagen,Sharan,2003,Minivan,236000,1800,Petrol,Automatic,3400
Mercedes,E Class,1996,Sedan,300000,2300,Metan/Propan,Manual,3400
BMW,5 Series,2012,Sedan,219000,2000,Diesel,Automatic,17700
Toyota,Avensis,2015,Sedan,185000,1600,Diesel,Manual,11900
Peugeot,107,2012,Hatchback,80000,1000,Petrol,Manual,4600
Volvo,V60,2015,Universal,205000,2400,Plug-in Hybrid,Automatic,16300
Audi,Q7,2007,SUV,300653,3000,Diesel,Automatic,15000
Dacia,Logan,2011,Sedan,170000,1200,Metan/Propan,Manual,2750
BMW,X5,2005,SUV,265000,3000,Diesel,Automatic,12200
Mercedes,S Class,2001,Sedan,312000,3200,Diesel,Automatic,2700
Honda,Jazz,2005,Hatchback,230000,1339,Petrol,Manual,3300
Hyundai,Santa FE,2009,SUV,132000,2200,Diesel,Automatic,12490
Skoda,Octavia,2010,Sedan,203000,1900,Diesel,Manual,7250
Honda,CR-V,2002,SUV,320000,2400,Petrol,Automatic,5990
Renault,Modus,2004,Hatchback,200180,1500,Diesel,Manual,2400
Chevrolet,Aveo,2011,Sedan,195500,1200,Metan/Propan,Manual,2799
Skoda,Octavia,2010,Universal,205000,1400,Petrol,Manual,6500
Skoda,Fabia,2011,Universal,18700,1200,Diesel,Manual,4900
Skoda,Fabia,2011,Universal,18700,1200,Diesel,Manual,4900
Dacia,Logan,2011,Sedan,10,1200,Petrol,Manual,2550
Toyota,Corolla,2007,Sedan,272000,1400,Diesel,Automatic,7000
Volkswagen,Golf,2015,Hatchback,35700,1200,Petrol,Automatic,11000
Dacia,Sandero,2009,Hatchback,160026,1400,Metan/Propan,Manual,3299
Ford,Fiesta,2009,Hatchback,1,1242,Petrol,Manual,4550
Renault,Scenic,2013,Minivan,210000,1500,Diesel,Manual,6500
Renault,Scenic,2013,Microvan,184000,1500,Diesel,Manual,6800
Hyundai,Tucson,2015,SUV,62000,2000,Diesel,Automatic,18950
Dacia,Sandero,2010,Hatchback,177000,1400,Metan/Propan,Manual,3300
Volkswagen,Caddy,2011,Universal,241000,1600,Diesel,Manual,5900
BMW,5 Series,2016,Sedan,152000,2000,Diesel,Automatic,22700
Mercedes,E Class,2014,Sedan,175000,2200,Hybrid,Automatic,20300
Toyota,Yaris,2014,Hatchback,119600,1500,Hybrid,Automatic,8250
Skoda,Octavia,2007,Hatchback,286980,1600,Petrol,Manual,2999
Mazda,6,2015,Sedan,87000,2200,Diesel,Manual,13997
Toyota,Carina,1998,Sedan,396802,1800,Petrol,Manual,2350
Vaz,2109,1990,Sedan,1228,1500,Petrol,Manual,900
Renault,Espace,2016,Minivan,183000,1600,Diesel,Automatic,13500
Suzuki,SX4,2007,Hatchback,241234,1500,Petrol,Manual,3200
Opel,Astra,2017,Hatchback,113800,1400,Petrol,Manual,9290
Ford,Kuga,2018,Crossover,121700,1500,Diesel,Automatic,14990
Toyota,Auris,2016,Hatchback,77500,1800,Hybrid,Automatic,12950
Ford,Kuga,2017,Crossover,158000,1500,Diesel,Manual,13950
Nissan,Almera Tino,2006,Universal,143400,1800,Petrol,Manual,3950
Ford,Mondeo,2015,Universal,168300,1500,Diesel,Manual,10950
Dacia,Logan,2015,Sedan,157400,1500,Diesel,Manual,6490
BMW,5 Series,2014,Sedan,148000,200,Diesel,Automatic,17400
Opel,Corsa,2014,Hatchback,67400,1400,Petrol,Automatic,7950
Ford,Kuga,2016,Crossover,158200,1500,Diesel,Manual,13650
Ford,Kuga,2017,Crossover,153800,1500,Diesel,Manual,14950
Ford,Kuga,2017,Crossover,129900,1500,Diesel,Automatic,14850
Toyota,Auris,2015,Universal,158799,1798,Hybrid,Automatic,12399
Ford,Focus,2015,Universal,145700,1500,Diesel,Manual,7950
Renault,Kadjar,2017,Crossover,131100,1500,Diesel,Automatic,12690
Toyota,Urban Cruiser,2009,Hatchback,114250,1400,Diesel,Manual,7500
Hyundai,Tucson,2016,Crossover,156500,1700,Diesel,Manual,15850
Nissan,Qashqai,2014,Crossover,132800,1500,Diesel,Manual,12190
Nissan,Qashqai,2018,Crossover,141700,1500,Diesel,Manual,13790
Skoda,Fabia,2010,Universal,208000,1200,Diesel,Manual,4800
Skoda,Fabia,2005,Universal,291300,1400,Diesel,Manual,3500
Renault,Clio4,2019,Hatchback,2600,898,Petrol,Manual,7700
Volkswagen,Passat,2013,Universal,153800,1400,Petrol,Manual,7750
KIA,Sportage,2012,Crossover,156000,2000,Petrol,Automatic,14280
Volkswagen,Passat CC,2010,Sedan,174000,2000,Petrol,Automatic,9500
Nissan,X-Trail,2018,Crossover,58100,1600,Diesel,Automatic,18550
Ford,Focus,2016,Universal,158700,1500,Diesel,Manual,7790
Chevrolet,Captiva,2007,Crossover,250000,1990,Diesel,Automatic,7200
Toyota,Rav 4,2014,Crossover,82000,2000,Petrol,Automatic,17350
BMW,3 Series,2012,Sedan,150000,2000,Diesel,Automatic,14490
Toyota,Rav 4,2014,Crossover,82000,2000,Petrol,Automatic,17350
BMW,3 Series,2012,Sedan,150000,2000,Diesel,Automatic,14490
Toyota,Auris,2009,Hatchback,140000,1400,Diesel,Manual,6400
KIA,Sportage,2007,Crossover,220,2000,Diesel,Automatic,8500
Peugeot,807,2004,Minivan,33,2200,Diesel,Manual,2800
Toyota,Auris,2008,Hatchback,240000,1400,Diesel,Automatic,6200
Toyota,Prius Prime,2016,Hatchback,115000,1800,Plug-in Hybrid,Automatic,15500
Dacia,Logan,2013,Sedan,157100,1200,Petrol,Manual,4950
Toyota,Camry,2013,Sedan,122000,2500,Hybrid,Automatic,12300
Renault,Kangoo,2005,Universal,1111,1200,Metan/Propan,Manual,2500
Dacia,Logan,2014,Sedan,159000,1200,Petrol,Manual,5150
Audi,Q5,2013,Crossover,149001,2000,Petrol,Automatic,15999
Hyundai,Matrix,2003,Universal,250000,1800,Metan/Propan,Manual,2900
Volkswagen,Passat,2014,Universal,245000,1600,Diesel,Manual,7500
Mercedes,E Class,2010,Sedan,254000,2200,Diesel,Automatic,12500
Volkswagen,Golf,2018,Hatchback,52222,2000,Petrol,Automatic,18500
Opel,Astra,2011,Universal,196000,1300,Diesel,Manual,7500
Porsche,Cayenne,2011,Crossover,46000,4800,Petrol,Automatic,24900
Mercedes,M Class,2013,SUV,133000,2200,Diesel,Automatic,24000
Nissan,Qashqai,2015,Crossover,96000,1200,Petrol,Automatic,10950
Volkswagen,Transporter,2004,Minivan,256964,2489,Diesel,Manual,7999
Hyundai,Tucson,2005,SUV,218000,2000,Diesel,Manual,6400
Renault,Clio,2016,Universal,145000,1498,Diesel,Automatic,7890
Lexus,CT Series,2013,Hatchback,150000,1800,Petrol,Automatic,11000
Renault,Megane,2008,Universal,220000,1500,Diesel,Manual,2500
Dacia,Logan,2007,Sedan,367000,1400,Metan/Propan,Manual,2700
KIA,Sportage,2011,Crossover,240000,2000,Diesel,Automatic,13000
Ford,C-Max,2013,Universal,115000,1000,Petrol,Manual,6750
Seat,Ibiza,2011,Universal,200000,1200,Diesel,Manual,4700
Volkswagen,Passat,2012,Universal,219000,1600,Diesel,Manual,9300
Mitsubishi,Eclipse Cross,2018,Crossover,80000,1500,Petrol,Automatic,16400
Audi,A6,2012,Sedan,192000,2000,Diesel,Automatic,18000
Honda,CR-V,2014,SUV,175000,2200,Diesel,Manual,15950
Mercedes,Citan,2015,Universal,135000,1500,Diesel,Manual,6600
Opel,Zafira,2008,Minivan,221300,1598,Metan/Propan,Manual,5300
Toyota,Auris,2012,Hatchback,172954,1800,Hybrid,Automatic,8900
Volvo,XC60,2015,SUV,201200,2400,Diesel,Automatic,19000
Audi,A6,2013,Sedan,98000,3000,Petrol,Automatic,19290
Volkswagen,Caddy,2010,Minivan,250000,1900,Diesel,Manual,5500
Peugeot,3008,2018,Crossover,115000,1500,Diesel,Automatic,17690
Tesla,Model S,2013,Hatchback,161000,0,Electric,Automatic,27950
Skoda,Fabia,2008,Universal,600000,1400,Diesel,Manual,9999
Toyota,Corolla,2004,Sedan,198000,1398,Petrol,Manual,4800
Renault,Megane,2006,Minivan,2588,1458,Diesel,Manual,2000
Jaguar,I-Pace,2020,SUV,5700,0,Electric,Automatic,87900
Toyota,Camry,2018,Sedan,51000,2500,Hybrid,Automatic,22300
Toyota,Prius,2010,Sedan,99966,1800,Hybrid,Automatic,8999
Volkswagen,Passat,2012,Sedan,138500,1800,Petrol,Manual,8489
Nissan,Qashqai,2010,Crossover,95000,2400,Metan/Propan,Automatic,8999
BMW,5 Series,2000,Sedan,300010,3000,Diesel,Manual,3000
Volkswagen,Eos,2007,Cabriolet,200000,2000,Petrol,Automatic,7500
BMW,5 Series,2004,Sedan,413000,3000,Diesel,Automatic,3350
Dacia,Logan Mcv,2007,Universal,250000,1400,Metan/Propan,Manual,2750
Opel,Corsa,2007,Coupe,150000,1300,Petrol,Manual,3300
Renault,Logan,2007,Universal,255000,1400,Metan/Propan,Manual,2750
Toyota,Auris,2013,Universal,189000,1800,Hybrid,Automatic,10450
Ford,Mondeo,2009,Sedan,250000,2000,Metan/Propan,Manual,5800
Chevrolet,Trax,2018,SUV,33000,1800,Petrol,Automatic,13650
Mercedes,E Class,2012,Sedan,236,2200,Diesel,Automatic,12499
Volkswagen,Passat,2000,Universal,300000,1600,Petrol,Manual,15000
Dacia,Logan,2012,Minivan,225000,1500,Diesel,Manual,3500
Renault,Kangoo,2012,Minivan,225000,1500,Diesel,Manual,3499
Opel,Combo,2012,Minivan,225000,1500,Diesel,Manual,3450
Seat,Ibiza,2010,Universal,160000,1200,Petrol,Automatic,6300
Ford,Escort,1995,Universal,528000,1600,Petrol,Manual,650
BMW,7 Series,2016,Sedan,135000,3000,Diesel,Automatic,55000
Skoda,Fabia,2011,Universal,220000,1200,Diesel,Manual,4300
Hyundai,Tucson,2016,SUV,207,2000,Diesel,Automatic,18750
Hyundai,Tucson,2016,Crossover,113000,1600,Petrol,Automatic,16750
Suzuki,Vitara,2015,SUV,70000,1400,Petrol,Automatic,14450
Suzuki,Vitara,2017,SUV,63000,1400,Petrol,Automatic,14950
Suzuki,Vitara,2015,SUV,70000,1400,Petrol,Automatic,14450
Porsche,Cayenne,2014,SUV,136000,3000,Diesel,Automatic,33550
Nissan,Qashqai,2012,Hatchback,107000,1500,Diesel,Manual,9999
Toyota,Land Cruiser Prado,2007,SUV,186000,2700,Metan/Propan,Automatic,15750
Ford,Fiesta,2006,Hatchback,195,1400,Diesel,Manual,3300
Toyota,Corolla,2007,Sedan,190000,1600,Petrol,Automatic,4999
Audi,A6,2004,Universal,383000,2500,Diesel,Automatic,4999
Citroen,Berlingo,2003,Combi,24000,1400,Metan/Propan,Manual,2100
KIA,Sportage,2019,Crossover,31000,1600,Petrol,Automatic,16750
Mitsubishi,Galant,1989,Sedan,430855,2000,Petrol,Manual,650
Toyota,Rav 4,2020,Crossover,17000,2000,Petrol,Automatic,25450
KIA,Sportage,2020,Crossover,30000,1600,Petrol,Automatic,17450
Suzuki,Vitara,2016,Crossover,80000,1600,Petrol,Manual,12350
Volkswagen,Vento,1998,Sedan,10,1800,Petrol,Manual,500
Audi,A8,2004,Sedan,252000,3000,Diesel,Automatic,8990
Mitsubishi,Pajero Sport,2012,SUV,230000,2499,Diesel,Automatic,15499
Peugeot,307,2006,Universal,300,1600,Diesel,Manual,3650
Skoda,Fabia,2003,Sedan,210000,1200,Petrol,Manual,2550
Nissan,Qashqai,2015,Crossover,156000,1500,Diesel,Manual,11500
BMW,X4,2015,SUV,190000,2000,Diesel,Automatic,23900
Mercedes,GLE,2015,SUV,177000,2200,Diesel,Automatic,28800
Toyota,Hilux,2019,SUV,11353,2400,Diesel,Automatic,37500
Lexus,NX Series,2017,SUV,139000,2500,Hybrid,Automatic,24900
Lexus,NX Series,2015,SUV,172000,2500,Hybrid,Automatic,23500
Lexus,CT Series,2015,Hatchback,126000,1800,Hybrid,Automatic,14200
Skoda,Karoq,2019,Crossover,152000,1600,Diesel,Automatic,19700
Toyota,Auris,2016,Minivan,168000,1800,Hybrid,Automatic,12200
Ford,Focus,2018,Hatchback,19000,1000,Petrol,Automatic,9600
KIA,Sportage,2016,SUV,139000,1700,Diesel,Manual,14800
Volvo,XC60,2017,SUV,189000,2000,Diesel,Automatic,25900
Volvo,XC60,2017,SUV,148000,2000,Diesel,Automatic,27500
Honda,CR-V,2013,SUV,126000,1600,Diesel,Manual,14500
Hyundai,Tucson,2016,Crossover,154000,1700,Diesel,Manual,15400
Lexus,NX Series,2015,Crossover,126000,2500,Hybrid,Automatic,25900
Lexus,NX Series,2015,SUV,155000,2500,Hybrid,Automatic,24500
Nissan,X-Trail,2017,SUV,160000,2000,Diesel,Automatic,17800
Volvo,XC60,2013,SUV,182000,2400,Diesel,Automatic,17800
Volvo,XC60,2011,SUV,210000,2400,Diesel,Automatic,14999
Volvo,XC60,2018,SUV,1,2000,Diesel,Automatic,26500
KIA,Carens,2013,Universal,138000,1700,Diesel,Manual,9800
Hyundai,Tucson,2016,SUV,136000,2000,Diesel,Manual,16250
Volvo,XC60,2015,SUV,156000,2400,Diesel,Automatic,18800
Honda,CR-V,2013,SUV,157000,2200,Diesel,Manual,15999
Ford,Transit Connect,2009,Minivan,260000,1800,Diesel,Manual,3700
Skoda,Fabia,2007,Universal,170000,1200,Petrol,Manual,3100
Dacia,Logan,2010,Sedan,179250,1400,Metan/Propan,Manual,3199
Toyota,Auris,2011,Hatchback,220000,1800,Hybrid,Automatic,7699
Honda,CR-V,2008,SUV,245171,2200,Diesel,Manual,9999
Volkswagen,Polo,2011,Hatchback,190058,1200,Diesel,Manual,5499
Nissan,Micra,1995,Hatchback,182362,1000,Petrol,Automatic,1699
Skoda,Octavia,2011,Universal,169854,1600,Diesel,Automatic,6499
Dacia,Logan Mcv,2007,Universal,210135,1400,Metan/Propan,Manual,2699
Dacia,Logan,2008,Sedan,230000,1400,Petrol,Manual,1499
Opel,Astra,2005,Hatchback,255121,1400,Metan/Propan,Manual,3799
Toyota,Auris,2008,Hatchback,197000,1400,Diesel,Manual,5299
Dacia,Logan,2007,Sedan,320000,1400,Metan/Propan,Manual,2699
Ford,Escape,2012,SUV,199000,2000,Petrol,Automatic,11499
Renault,Megane,2010,Universal,220124,1500,Diesel,Manual,5499
Dacia,Logan,2007,Sedan,212500,1400,Metan/Propan,Manual,3199
Toyota,Prius,2007,Hatchback,210000,1500,Hybrid,Automatic,4999
BMW,5 Series,2000,Sedan,337898,2000,Petrol,Manual,3299
Hyundai,Tucson,2006,SUV,116249,2000,Metan/Propan,Manual,5499
Toyota,Prius,2005,Hatchback,299999,1500,Hybrid,Automatic,4899
Opel,Astra,2004,Universal,220000,1700,Diesel,Manual,3500
Dacia,Logan,2007,Sedan,233147,1400,Metan/Propan,Manual,2699
Peugeot,405,1994,Sedan,25000,200,Petrol,Manual,700
Audi,A4,1998,Sedan,99999,1900,Diesel,Manual,777
Toyota,Avensis,2011,Universal,130000,1800,Petrol,Automatic,9600
Audi,A4,2013,Sedan,137541,2000,Petrol,Manual,11700
Volkswagen,Golf,2005,Universal,219000,1400,Petrol,Manual,4200
BMW,5 Series,2003,Sedan,400000,3000,Diesel,Manual,6000
Ford,Escort,1986,Coupe,91825,1400,Petrol,Manual,600
Suzuki,Swift,1993,Coupe,180000,1000,Petrol,Automatic,700
Volkswagen,Golf,2001,Hatchback,12345,1900,Diesel,Manual,1400
KIA,Optima,2012,Sedan,140000,1700,Diesel,Automatic,10999
Peugeot,206,2002,Universal,217000,1600,Petrol,Automatic,2800
BMW,X3,2017,Crossover,54000,2000,Diesel,Automatic,42500
Rover,75,2000,Sedan,120000,200,Petrol,Manual,4100
Audi,A6,1998,Sedan,370000,2800,Petrol,Manual,3270
